form	lexeme	cell
e n s a j a i s	ensaj	2plPres
k a n s e l o	kansel	1sgPres
k a n s e l a s	kansel	2sgPres
k a n s e l a n	kansel	3plPres
k a n s e l a	kansel	3sgPres
k a n s e l a m o s	kansel	1plPres
k a n s e l a i s	kansel	2plPres
j o r o	jor	1sgPres
j o r a s	jor	2sgPres
j o r a n	jor	3plPres
j o r a	jor	3sgPres
j o r a m o s	jor	1plPres
j o r a i s	jor	2plPres
i n s e n d j o	insendj	1sgPres
i n s e n d j a s	insendj	2sgPres
i n s e n d j a n	insendj	3plPres
i n s e n d j a	insendj	3sgPres
i n s e n d j a m o s	insendj	1plPres
i n s e n d j a i s	insendj	2plPres
f r e n o	fren	1sgPres
f r e n a s	fren	2sgPres
f r e n a n	fren	3plPres
f r e n a	fren	3sgPres
f r e n a m o s	fren	1plPres
f r e n a i s	fren	2plPres
a m a r g o	amarg	1sgPres
a m a r g a s	amarg	2sgPres
a m a r g a n	amarg	3plPres
a m a r g a	amarg	3sgPres
a m a r g a m o s	amarg	1plPres
a m a r g a i s	amarg	2plPres
d a t o	dat	1sgPres
d a t a s	dat	2sgPres
d a t a n	dat	3plPres
d a t a	dat	3sgPres
d a t a m o s	dat	1plPres
d a t a i s	dat	2plPres
d e s j e n d o	desend	1sgPres
d e s j e n d e s	desend	2sgPres
d e s j e n d e n	desend	3plPres
d e s j e n d e	desend	3sgPres
d e s e n d e m o s	desend	1plPres
d e s e n d e i s	desend	2plPres
f a b o r e s k o	fabores	1sgPres
f a b o r e s e s	fabores	2sgPres
f a b o r e s e n	fabores	3plPres
f a b o r e s e	fabores	3sgPres
f a b o r e s e m o s	fabores	1plPres
f a b o r e s e i s	fabores	2plPres
s u b e n s j o n o	subensjon	1sgPres
s u b e n s j o n a s	subensjon	2sgPres
s u b e n s j o n a n	subensjon	3plPres
s u b e n s j o n a	subensjon	3sgPres
s u b e n s j o n a m o s	subensjon	1plPres
s u b e n s j o n a i s	subensjon	2plPres
a l m a s e n o	almasen	1sgPres
a l m a s e n a s	almasen	2sgPres
a l m a s e n a n	almasen	3plPres
a l m a s e n a	almasen	3sgPres
a l m a s e n a m o s	almasen	1plPres
a l m a s e n a i s	almasen	2plPres
k o N g r e g o	koNgreg	1sgPres
k o N g r e g a s	koNgreg	2sgPres
k o N g r e g a n	koNgreg	3plPres
k o N g r e g a	koNgreg	3sgPres
k o N g r e g a m o s	koNgreg	1plPres
k o N g r e g a i s	koNgreg	2plPres
p e r k a t o	perkat	1sgPres
p e r k a t a s	perkat	2sgPres
p e r k a t a n	perkat	3plPres
p e r k a t a	perkat	3sgPres
p e r k a t a m o s	perkat	1plPres
p e r k a t a i s	perkat	2plPres
p r e m j o	premj	1sgPres
p r e m j a s	premj	2sgPres
p r e m j a n	premj	3plPres
p r e m j a	premj	3sgPres
p r e m j a m o s	premj	1plPres
p r e m j a i s	premj	2plPres
d e k r e t o	dekret	1sgPres
d e k r e t a s	dekret	2sgPres
d e k r e t a n	dekret	3plPres
d e k r e t a	dekret	3sgPres
d e k r e t a m o s	dekret	1plPres
d e k r e t a i s	dekret	2plPres
i r r u m p o	irrump	1sgPres
i r r u m p e s	irrump	2sgPres
i r r u m p e n	irrump	3plPres
i r r u m p e	irrump	3sgPres
i r r u m p i m o s	irrump	1plPres
i r r u m p i s	irrump	2plPres
e C o	eC	1sgPres
e C a s	eC	2sgPres
e C a n	eC	3plPres
e C a	eC	3sgPres
e C a m o s	eC	1plPres
e C a i s	eC	2plPres
i n s k r i b o	inskrib	1sgPres
i n s k r i b e s	inskrib	2sgPres
i n s k r i b e n	inskrib	3plPres
i n s k r i b e	inskrib	3sgPres
i n s k r i b i m o s	inskrib	1plPres
i n s k r i b i s	inskrib	2plPres
m a s k u j o	maskuj	1sgPres
m a s k u j a s	maskuj	2sgPres
m a s k u j a n	maskuj	3plPres
m a s k u j a	maskuj	3sgPres
m a s k u j a m o s	maskuj	1plPres
m a s k u j a i s	maskuj	2plPres
a b s t e N g o	absten	1sgPres
a b s t j e n e s	absten	2sgPres
a b s t j e n e n	absten	3plPres
a b s t j e n e	absten	3sgPres
a b s t e n e m o s	absten	1plPres
a b s t e n e i s	absten	2plPres
k a l i f i k o	kalifik	1sgPres
k a l i f i k a s	kalifik	2sgPres
k a l i f i k a n	kalifik	3plPres
k a l i f i k a	kalifik	3sgPres
k a l i f i k a m o s	kalifik	1plPres
k a l i f i k a i s	kalifik	2plPres
e s t i r o	estir	1sgPres
e s t i r a s	estir	2sgPres
e s t i r a n	estir	3plPres
e s t i r a	estir	3sgPres
e s t i r a m o s	estir	1plPres
e s t i r a i s	estir	2plPres
e r e d o	ered	1sgPres
e r e d a s	ered	2sgPres
e r e d a n	ered	3plPres
e r e d a	ered	3sgPres
e r e d a m o s	ered	1plPres
e r e d a i s	ered	2plPres
i n t e r r u m p o	interrump	1sgPres
i n t e r r u m p e s	interrump	2sgPres
i n t e r r u m p e n	interrump	3plPres
i n t e r r u m p e	interrump	3sgPres
i n t e r r u m p i m o s	interrump	1plPres
i n t e r r u m p i s	interrump	2plPres
a l m w e r s o	almors	1sgPres
a l m w e r s a s	almors	2sgPres
a l m w e r s a n	almors	3plPres
a l m w e r s a	almors	3sgPres
a l m o r s a m o s	almors	1plPres
a l m o r s a i s	almors	2plPres
a s o m o	asom	1sgPres
a s o m a s	asom	2sgPres
a s o m a n	asom	3plPres
a s o m a	asom	3sgPres
a s o m a m o s	asom	1plPres
a s o m a i s	asom	2plPres
p a r a l i s o	paralis	1sgPres
p a r a l i s a s	paralis	2sgPres
p a r a l i s a n	paralis	3plPres
p a r a l i s a	paralis	3sgPres
p a r a l i s a m o s	paralis	1plPres
p a r a l i s a i s	paralis	2plPres
d e d i k o	dedik	1sgPres
d e d i k a s	dedik	2sgPres
d e d i k a n	dedik	3plPres
d e d i k a	dedik	3sgPres
d e d i k a m o s	dedik	1plPres
d e d i k a i s	dedik	2plPres
l e s j o n o	lesjon	1sgPres
l e s j o n a s	lesjon	2sgPres
l e s j o n a n	lesjon	3plPres
l e s j o n a	lesjon	3sgPres
l e s j o n a m o s	lesjon	1plPres
l e s j o n a i s	lesjon	2plPres
p o N g o	pon	1sgPres
p o n e s	pon	2sgPres
p o n e n	pon	3plPres
p o n e	pon	3sgPres
p o n e m o s	pon	1plPres
p o n e i s	pon	2plPres
e n t o n o	enton	1sgPres
e n t o n a s	enton	2sgPres
e n t o n a n	enton	3plPres
e n t o n a	enton	3sgPres
e n t o n a m o s	enton	1plPres
e n t o n a i s	enton	2plPres
k w i d o	kwid	1sgPres
k w i d a s	kwid	2sgPres
k w i d a n	kwid	3plPres
k w i d a	kwid	3sgPres
k w i d a m o s	kwid	1plPres
k w i d a i s	kwid	2plPres
a t j e n t o	atent	1sgPres
a t j e n t a s	atent	2sgPres
a t j e n t a n	atent	3plPres
a t j e n t a	atent	3sgPres
a t e n t a m o s	atent	1plPres
a t e n t a i s	atent	2plPres
p r o m w e b o	promob	1sgPres
p r o m w e b e s	promob	2sgPres
p r o m w e b e n	promob	3plPres
p r o m w e b e	promob	3sgPres
p r o m o b e m o s	promob	1plPres
p r o m o b e i s	promob	2plPres
k o N x e l o	koNxel	1sgPres
k o N x e l a s	koNxel	2sgPres
k o N x e l a n	koNxel	3plPres
k o N x e l a	koNxel	3sgPres
k o N x e l a m o s	koNxel	1plPres
k o N x e l a i s	koNxel	2plPres
x e s t j o n o	xestjon	1sgPres
x e s t j o n a s	xestjon	2sgPres
x e s t j o n a n	xestjon	3plPres
x e s t j o n a	xestjon	3sgPres
x e s t j o n a m o s	xestjon	1plPres
x e s t j o n a i s	xestjon	2plPres
e l a b o r o	elabor	1sgPres
e l a b o r a s	elabor	2sgPres
e l a b o r a n	elabor	3plPres
e l a b o r a	elabor	3sgPres
e l a b o r a m o s	elabor	1plPres
e l a b o r a i s	elabor	2plPres
r e d i m o	redim	1sgPres
r e d i m e s	redim	2sgPres
r e d i m e n	redim	3plPres
r e d i m e	redim	3sgPres
r e d i m i m o s	redim	1plPres
r e d i m i s	redim	2plPres
p i s o	pis	1sgPres
p i s a s	pis	2sgPres
p i s a n	pis	3plPres
p i s a	pis	3sgPres
p i s a m o s	pis	1plPres
p i s a i s	pis	2plPres
r e b e l o	rebel	1sgPres
r e b e l a s	rebel	2sgPres
r e b e l a n	rebel	3plPres
r e b e l a	rebel	3sgPres
r e b e l a m o s	rebel	1plPres
r e b e l a i s	rebel	2plPres
e n s j e n d o	ensend	1sgPres
e n s j e n d e s	ensend	2sgPres
e n s j e n d e n	ensend	3plPres
e n s j e n d e	ensend	3sgPres
e n s e n d e m o s	ensend	1plPres
e n s e n d e i s	ensend	2plPres
r e g a l o	regal	1sgPres
r e g a l a s	regal	2sgPres
r e g a l a n	regal	3plPres
r e g a l a	regal	3sgPres
r e g a l a m o s	regal	1plPres
r e g a l a i s	regal	2plPres
d u d o	dud	1sgPres
d u d a s	dud	2sgPres
d u d a n	dud	3plPres
d u d a	dud	3sgPres
d u d a m o s	dud	1plPres
d u d a i s	dud	2plPres
m o t i b o	motib	1sgPres
m o t i b a s	motib	2sgPres
m o t i b a n	motib	3plPres
m o t i b a	motib	3sgPres
m o t i b a m o s	motib	1plPres
m o t i b a i s	motib	2plPres
d e l e g o	deleg	1sgPres
d e l e g a s	deleg	2sgPres
d e l e g a n	deleg	3plPres
d e l e g a	deleg	3sgPres
d e l e g a m o s	deleg	1plPres
d e l e g a i s	deleg	2plPres
e s k r i b o	eskrib	1sgPres
e s k r i b e s	eskrib	2sgPres
e s k r i b e n	eskrib	3plPres
e s k r i b e	eskrib	3sgPres
e s k r i b i m o s	eskrib	1plPres
e s k r i b i s	eskrib	2plPres
e k s a x e r o	eksaxer	1sgPres
e k s a x e r a s	eksaxer	2sgPres
e k s a x e r a n	eksaxer	3plPres
e k s a x e r a	eksaxer	3sgPres
e k s a x e r a m o s	eksaxer	1plPres
e k s a x e r a i s	eksaxer	2plPres
e n b e n e n o	enbenen	1sgPres
e n b e n e n a s	enbenen	2sgPres
e n b e n e n a n	enbenen	3plPres
e n b e n e n a	enbenen	3sgPres
e n b e n e n a m o s	enbenen	1plPres
e n b e n e n a i s	enbenen	2plPres
r e s t o	rest	1sgPres
r e s t a s	rest	2sgPres
r e s t a n	rest	3plPres
r e s t a	rest	3sgPres
r e s t a m o s	rest	1plPres
r e s t a i s	rest	2plPres
e s t r e j o	estrej	1sgPres
e s t r e j a s	estrej	2sgPres
e s t r e j a n	estrej	3plPres
e s t r e j a	estrej	3sgPres
e s t r e j a m o s	estrej	1plPres
e s t r e j a i s	estrej	2plPres
d e s t i n o	destin	1sgPres
d e s t i n a s	destin	2sgPres
d e s t i n a n	destin	3plPres
d e s t i n a	destin	3sgPres
d e s t i n a m o s	destin	1plPres
d e s t i n a i s	destin	2plPres
r e s p i r o	respir	1sgPres
r e s p i r a s	respir	2sgPres
r e s p i r a n	respir	3plPres
r e s p i r a	respir	3sgPres
r e s p i r a m o s	respir	1plPres
r e s p i r a i s	respir	2plPres
d e s a r m o	desarm	1sgPres
d e s a r m a s	desarm	2sgPres
d e s a r m a n	desarm	3plPres
d e s a r m a	desarm	3sgPres
d e s a r m a m o s	desarm	1plPres
d e s a r m a i s	desarm	2plPres
e s t a b i l i s o	estabilis	1sgPres
e s t a b i l i s a s	estabilis	2sgPres
e s t a b i l i s a n	estabilis	3plPres
e s t a b i l i s a	estabilis	3sgPres
e s t a b i l i s a m o s	estabilis	1plPres
e s t a b i l i s a i s	estabilis	2plPres
s e k w e s t r o	sekwestr	1sgPres
s e k w e s t r a s	sekwestr	2sgPres
s e k w e s t r a n	sekwestr	3plPres
s e k w e s t r a	sekwestr	3sgPres
s e k w e s t r a m o s	sekwestr	1plPres
s e k w e s t r a i s	sekwestr	2plPres
d e s k a r g o	deskarg	1sgPres
d e s k a r g a s	deskarg	2sgPres
d e s k a r g a n	deskarg	3plPres
d e s k a r g a	deskarg	3sgPres
d e s k a r g a m o s	deskarg	1plPres
d e s k a r g a i s	deskarg	2plPres
i n b o l u k r o	inbolukr	1sgPres
i n b o l u k r a s	inbolukr	2sgPres
i n b o l u k r a n	inbolukr	3plPres
i n b o l u k r a	inbolukr	3sgPres
i n b o l u k r a m o s	inbolukr	1plPres
i n b o l u k r a i s	inbolukr	2plPres
k l a s i f i k o	klasifik	1sgPres
k l a s i f i k a s	klasifik	2sgPres
k l a s i f i k a n	klasifik	3plPres
k l a s i f i k a	klasifik	3sgPres
k l a s i f i k a m o s	klasifik	1plPres
k l a s i f i k a i s	klasifik	2plPres
a b a l a n s o	abalans	1sgPres
a b a l a n s a s	abalans	2sgPres
a b a l a n s a n	abalans	3plPres
a b a l a n s a	abalans	3sgPres
a b a l a n s a m o s	abalans	1plPres
a b a l a n s a i s	abalans	2plPres
a s i g n o	asign	1sgPres
a s i g n a s	asign	2sgPres
a s i g n a n	asign	3plPres
a s i g n a	asign	3sgPres
a s i g n a m o s	asign	1plPres
a s i g n a i s	asign	2plPres
i n s t r u j o	instrw	1sgPres
i n s t r u j e s	instrw	2sgPres
i n s t r u j e n	instrw	3plPres
i n s t r u j e	instrw	3sgPres
i n s t r w i m o s	instrw	1plPres
i n s t r w i s	instrw	2plPres
x u s t i f i k o	xustifik	1sgPres
x u s t i f i k a s	xustifik	2sgPres
x u s t i f i k a n	xustifik	3plPres
x u s t i f i k a	xustifik	3sgPres
x u s t i f i k a m o s	xustifik	1plPres
x u s t i f i k a i s	xustifik	2plPres
f r o t o	frot	1sgPres
f r o t a s	frot	2sgPres
f r o t a n	frot	3plPres
f r o t a	frot	3sgPres
f r o t a m o s	frot	1plPres
f r o t a i s	frot	2plPres
l i o	lj	1sgPres
l i a s	lj	2sgPres
l i a n	lj	3plPres
l i a	lj	3sgPres
l j a m o s	lj	1plPres
l j a i s	lj	2plPres
t a l o	tal	1sgPres
t a l a s	tal	2sgPres
t a l a n	tal	3plPres
t a l a	tal	3sgPres
t a l a m o s	tal	1plPres
t a l a i s	tal	2plPres
t o k o	tok	1sgPres
t o k a s	tok	2sgPres
t o k a n	tok	3plPres
t o k a	tok	3sgPres
t o k a m o s	tok	1plPres
t o k a i s	tok	2plPres
e N k a d e n o	eNkaden	1sgPres
e N k a d e n a s	eNkaden	2sgPres
e N k a d e n a n	eNkaden	3plPres
e N k a d e n a	eNkaden	3sgPres
e N k a d e n a m o s	eNkaden	1plPres
e N k a d e n a i s	eNkaden	2plPres
a g u d i s o	agudis	1sgPres
a g u d i s a s	agudis	2sgPres
a g u d i s a n	agudis	3plPres
a g u d i s a	agudis	3sgPres
a g u d i s a m o s	agudis	1plPres
a g u d i s a i s	agudis	2plPres
a s e C o	aseC	1sgPres
a s e C a s	aseC	2sgPres
a s e C a n	aseC	3plPres
a s e C a	aseC	3sgPres
a s e C a m o s	aseC	1plPres
a s e C a i s	aseC	2plPres
s o r b o	sorb	1sgPres
s o r b e s	sorb	2sgPres
s o r b e n	sorb	3plPres
s o r b e	sorb	3sgPres
s o r b e m o s	sorb	1plPres
s o r b e i s	sorb	2plPres
k o n d i s j o n o	kondisjon	1sgPres
k o n d i s j o n a s	kondisjon	2sgPres
k o n d i s j o n a n	kondisjon	3plPres
k o n d i s j o n a	kondisjon	3sgPres
k o n d i s j o n a m o s	kondisjon	1plPres
k o n d i s j o n a i s	kondisjon	2plPres
p j e n s o	pens	1sgPres
p j e n s a s	pens	2sgPres
p j e n s a n	pens	3plPres
p j e n s a	pens	3sgPres
p e n s a m o s	pens	1plPres
p e n s a i s	pens	2plPres
a b u s o	abus	1sgPres
a b u s a s	abus	2sgPres
a b u s a n	abus	3plPres
a b u s a	abus	3sgPres
a b u s a m o s	abus	1plPres
a b u s a i s	abus	2plPres
a n a l i s o	analis	1sgPres
a n a l i s a s	analis	2sgPres
a n a l i s a n	analis	3plPres
a n a l i s a	analis	3sgPres
a n a l i s a m o s	analis	1plPres
a n a l i s a i s	analis	2plPres
p r o k u r o	prokur	1sgPres
p r o k u r a s	prokur	2sgPres
p r o k u r a n	prokur	3plPres
p r o k u r a	prokur	3sgPres
p r o k u r a m o s	prokur	1plPres
p r o k u r a i s	prokur	2plPres
s j e m b r o	sembr	1sgPres
s j e m b r a s	sembr	2sgPres
s j e m b r a n	sembr	3plPres
s j e m b r a	sembr	3sgPres
s e m b r a m o s	sembr	1plPres
s e m b r a i s	sembr	2plPres
k o n s i b o	konseb	1sgPres
k o n s i b e s	konseb	2sgPres
k o n s i b e n	konseb	3plPres
k o n s i b e	konseb	3sgPres
k o n s e b i m o s	konseb	1plPres
k o n s e b i s	konseb	2plPres
e s p i o	espj	1sgPres
e s p i a s	espj	2sgPres
e s p i a n	espj	3plPres
e s p i a	espj	3sgPres
e s p j a m o s	espj	1plPres
e s p j a i s	espj	2plPres
d e s k a n s o	deskans	1sgPres
d e s k a n s a s	deskans	2sgPres
d e s k a n s a n	deskans	3plPres
d e s k a n s a	deskans	3sgPres
d e s k a n s a m o s	deskans	1plPres
d e s k a n s a i s	deskans	2plPres
a n d o	and	1sgPres
a n d a s	and	2sgPres
a n d a n	and	3plPres
a n d a	and	3sgPres
a n d a m o s	and	1plPres
a n d a i s	and	2plPres
k o n t r a d i g o	kontrades	1sgPres
k o n t r a d i s e s	kontrades	2sgPres
k o n t r a d i s e n	kontrades	3plPres
k o n t r a d i s e	kontrades	3sgPres
k o n t r a d e s i m o s	kontrades	1plPres
k o n t r a d e s i s	kontrades	2plPres
k j e b r o	kebr	1sgPres
k j e b r a s	kebr	2sgPres
k j e b r a n	kebr	3plPres
k j e b r a	kebr	3sgPres
k e b r a m o s	kebr	1plPres
k e b r a i s	kebr	2plPres
a d o p t o	adopt	1sgPres
a d o p t a s	adopt	2sgPres
a d o p t a n	adopt	3plPres
a d o p t a	adopt	3sgPres
a d o p t a m o s	adopt	1plPres
a d o p t a i s	adopt	2plPres
r e k t i f i k o	rektifik	1sgPres
r e k t i f i k a s	rektifik	2sgPres
r e k t i f i k a n	rektifik	3plPres
r e k t i f i k a	rektifik	3sgPres
r e k t i f i k a m o s	rektifik	1plPres
r e k t i f i k a i s	rektifik	2plPres
i n t u j o	intw	1sgPres
i n t u j e s	intw	2sgPres
i n t u j e n	intw	3plPres
i n t u j e	intw	3sgPres
i n t w i m o s	intw	1plPres
i n t w i s	intw	2plPres
a m o r t i g w o	amortigw	1sgPres
a m o r t i g w a s	amortigw	2sgPres
a m o r t i g w a n	amortigw	3plPres
a m o r t i g w a	amortigw	3sgPres
a m o r t i g w a m o s	amortigw	1plPres
a m o r t i g w a i s	amortigw	2plPres
a l a r d e o	alarde	1sgPres
a l a r d e a s	alarde	2sgPres
a l a r d e a n	alarde	3plPres
a l a r d e a	alarde	3sgPres
a l a r d e a m o s	alarde	1plPres
a l a r d e a i s	alarde	2plPres
p r e b e N g o	preben	1sgPres
p r e b j e n e s	preben	2sgPres
p r e b j e n e n	preben	3plPres
p r e b j e n e	preben	3sgPres
p r e b e n i m o s	preben	1plPres
p r e b e n i s	preben	2plPres
b e n e r o	bener	1sgPres
b e n e r a s	bener	2sgPres
b e n e r a n	bener	3plPres
b e n e r a	bener	3sgPres
b e n e r a m o s	bener	1plPres
b e n e r a i s	bener	2plPres
a l e g r o	alegr	1sgPres
a l e g r a s	alegr	2sgPres
a l e g r a n	alegr	3plPres
a l e g r a	alegr	3sgPres
a l e g r a m o s	alegr	1plPres
a l e g r a i s	alegr	2plPres
p r e b e o	preb	1sgPres
p r e b e s	preb	2sgPres
p r e b e n	preb	3plPres
p r e b e	preb	3sgPres
p r e b e m o s	preb	1plPres
p r e b e i s	preb	2plPres
k o n t e m p l o	kontempl	1sgPres
k o n t e m p l a s	kontempl	2sgPres
k o n t e m p l a n	kontempl	3plPres
k o n t e m p l a	kontempl	3sgPres
k o n t e m p l a m o s	kontempl	1plPres
k o n t e m p l a i s	kontempl	2plPres
s o p o r t o	soport	1sgPres
s o p o r t a s	soport	2sgPres
s o p o r t a n	soport	3plPres
s o p o r t a	soport	3sgPres
s o p o r t a m o s	soport	1plPres
s o p o r t a i s	soport	2plPres
p r a k t i k o	praktik	1sgPres
p r a k t i k a s	praktik	2sgPres
p r a k t i k a n	praktik	3plPres
p r a k t i k a	praktik	3sgPres
p r a k t i k a m o s	praktik	1plPres
p r a k t i k a i s	praktik	2plPres
a k r e d i t o	akredit	1sgPres
a k r e d i t a s	akredit	2sgPres
a k r e d i t a n	akredit	3plPres
a k r e d i t a	akredit	3sgPres
a k r e d i t a m o s	akredit	1plPres
a k r e d i t a i s	akredit	2plPres
g r u ñ o	gruñ	1sgPres
g r u ñ e s	gruñ	2sgPres
g r u ñ e n	gruñ	3plPres
g r u ñ e	gruñ	3sgPres
g r u ñ i m o s	gruñ	1plPres
g r u ñ i s	gruñ	2plPres
p r e s t i x j o	prestixj	1sgPres
p r e s t i x j a s	prestixj	2sgPres
p r e s t i x j a n	prestixj	3plPres
p r e s t i x j a	prestixj	3sgPres
p r e s t i x j a m o s	prestixj	1plPres
p r e s t i x j a i s	prestixj	2plPres
m o d e r o	moder	1sgPres
m o d e r a s	moder	2sgPres
m o d e r a n	moder	3plPres
m o d e r a	moder	3sgPres
m o d e r a m o s	moder	1plPres
m o d e r a i s	moder	2plPres
e n m j e n d o	enmend	1sgPres
e n m j e n d a s	enmend	2sgPres
e n m j e n d a n	enmend	3plPres
e n m j e n d a	enmend	3sgPres
e n m e n d a m o s	enmend	1plPres
e n m e n d a i s	enmend	2plPres
d e s p l o m o	desplom	1sgPres
d e s p l o m a s	desplom	2sgPres
d e s p l o m a n	desplom	3plPres
d e s p l o m a	desplom	3sgPres
d e s p l o m a m o s	desplom	1plPres
d e s p l o m a i s	desplom	2plPres
b w e l o	bol	1sgPres
b w e l a s	bol	2sgPres
b w e l a n	bol	3plPres
b w e l a	bol	3sgPres
b o l a m o s	bol	1plPres
b o l a i s	bol	2plPres
t o r t u r o	tortur	1sgPres
t o r t u r a s	tortur	2sgPres
t o r t u r a n	tortur	3plPres
t o r t u r a	tortur	3sgPres
t o r t u r a m o s	tortur	1plPres
t o r t u r a i s	tortur	2plPres
r u x o	rux	1sgPres
r u x e s	rux	2sgPres
r u x e n	rux	3plPres
r u x e	rux	3sgPres
r u x i m o s	rux	1plPres
r u x i s	rux	2plPres
a d e n t r o	adentr	1sgPres
a d e n t r a s	adentr	2sgPres
a d e n t r a n	adentr	3plPres
a d e n t r a	adentr	3sgPres
a d e n t r a m o s	adentr	1plPres
a d e n t r a i s	adentr	2plPres
s u b o	sub	1sgPres
s u b e s	sub	2sgPres
s u b e n	sub	3plPres
s u b e	sub	3sgPres
s u b i m o s	sub	1plPres
s u b i s	sub	2plPres
f o r t a l e s k o	fortales	1sgPres
f o r t a l e s e s	fortales	2sgPres
f o r t a l e s e n	fortales	3plPres
f o r t a l e s e	fortales	3sgPres
f o r t a l e s e m o s	fortales	1plPres
f o r t a l e s e i s	fortales	2plPres
a d e l a n t o	adelant	1sgPres
a d e l a n t a s	adelant	2sgPres
a d e l a n t a n	adelant	3plPres
a d e l a n t a	adelant	3sgPres
a d e l a n t a m o s	adelant	1plPres
a d e l a n t a i s	adelant	2plPres
r e t r a t o	retrat	1sgPres
r e t r a t a s	retrat	2sgPres
r e t r a t a n	retrat	3plPres
r e t r a t a	retrat	3sgPres
r e t r a t a m o s	retrat	1plPres
r e t r a t a i s	retrat	2plPres
a d e k u o	adekw	1sgPres
a d e k u a s	adekw	2sgPres
a d e k u a n	adekw	3plPres
a d e k u a	adekw	3sgPres
a d e k w a m o s	adekw	1plPres
a d e k w a i s	adekw	2plPres
s u p e r p o N g o	superpon	1sgPres
s u p e r p o n e s	superpon	2sgPres
s u p e r p o n e n	superpon	3plPres
s u p e r p o n e	superpon	3sgPres
s u p e r p o n e m o s	superpon	1plPres
s u p e r p o n e i s	superpon	2plPres
j a s k o	jas	1sgPres
j a s e s	jas	2sgPres
j a s e n	jas	3plPres
j a s e	jas	3sgPres
j a s e m o s	jas	1plPres
j a s e i s	jas	2plPres
b a x o	bax	1sgPres
b a x a s	bax	2sgPres
b a x a n	bax	3plPres
b a x a	bax	3sgPres
b a x a m o s	bax	1plPres
b a x a i s	bax	2plPres
k r e s k o	kres	1sgPres
k r e s e s	kres	2sgPres
k r e s e n	kres	3plPres
k r e s e	kres	3sgPres
k r e s e m o s	kres	1plPres
k r e s e i s	kres	2plPres
b a g o	bag	1sgPres
b a g a s	bag	2sgPres
b a g a n	bag	3plPres
b a g a	bag	3sgPres
b a g a m o s	bag	1plPres
b a g a i s	bag	2plPres
k w i n s i d o	kwinsid	1sgPres
k w i n s i d e s	kwinsid	2sgPres
k w i n s i d e n	kwinsid	3plPres
k w i n s i d e	kwinsid	3sgPres
k w i n s i d i m o s	kwinsid	1plPres
k w i n s i d i s	kwinsid	2plPres
a p l a w d o	aplawd	1sgPres
a p l a w d e s	aplawd	2sgPres
a p l a w d e n	aplawd	3plPres
a p l a w d e	aplawd	3sgPres
a p l a w d i m o s	aplawd	1plPres
a p l a w d i s	aplawd	2plPres
s w e ñ o	soñ	1sgPres
s w e ñ a s	soñ	2sgPres
s w e ñ a n	soñ	3plPres
